X/mm,U1/mV£¨+B +I£©,,U2/mV£¨+B -I£©,,U3/mV£¨-B +I£©,,U4/mV£¨-B -I£©,,Uh=(U1-U2-U3+U4)/4   mA,,B/mT,
,×ó²à,ÓÒ²à,×ó²à,ÓÒ²à,×ó²à,ÓÒ²à,×ó²à,ÓÒ²à,×ó²à,ÓÒ²à,×ó²à,ÓÒ²à
0,8.77,8.76,-8.79,-8.79,-8.62,-8.62,8.68,8.68,,,,
30,8.73,8.77,-8.75,-8.79,-8.57,-8.6,8.55,8.57,,,,
60,8.71,8.64,-8.73,-8.66,-8.55,-8.48,8.53,8.46,,,,
90,8.47,8.42,-8.49,-8.45,-8.32,-8.26,8.29,8.23,,,,
110,8.03,7.95,-8.04,-7.96,-7.9,-7.81,7.83,7.78,,,,
130,6.04,6.14,-6.04,-6.2,-5.88,-6.01,5.84,5.98,,,,
150,2.51,2.64,-2.51,-2.7,-2.4,-2.53,2.34,2.44,,,,
160,1.46,1.55,-1.5,-1.59,-1.34,-1.43,1.33,1.4,,,,
170,0.92,0.98,-0.95,-1,-0.82,-0.83,0.78,0.83,,,,
180,0.62,0.68,-0.65,-0.68,-0.5,-0.52,0.48,0.49,,,,
190,0.46,0.46,-0.46,-0.5,-0.3,-0.34,0.31,0.3,,,,
